node,inj_node,time
1,1,0
1,2,90000
1,3,90000
1,4,90000
1,5,90000
1,6,90000
1,7,90000
1,8,90000
1,9,90000
1,10,90000
1,11,90000
1,12,90000
1,13,90000
1,14,90000
1,15,90000
1,16,90000
1,17,90000
1,18,90000
1,19,90000
1,20,3600
1,21,90000
1,22,90000
10,1,10800
10,2,90000
10,3,90000
10,4,90000
10,5,90000
10,6,90000
10,7,90000
10,8,90000
10,9,90000
10,10,0
10,11,3600
10,12,7200
10,13,25200
10,14,90000
10,15,90000
10,16,90000
10,17,3600
10,18,7200
10,19,90000
10,20,10800
10,21,90000
10,22,3600
11,1,3600
11,2,90000
11,3,90000
11,4,90000
11,5,90000
11,6,90000
11,7,90000
11,8,90000
11,9,90000
11,10,90000
11,11,0
11,12,3600
11,13,90000
11,14,90000
11,15,90000
11,16,90000
11,17,90000
11,18,90000
11,19,90000
11,20,3600
11,21,90000
11,22,90000
12,1,3600
12,2,90000
12,3,90000
12,4,90000
12,5,90000
12,6,90000
12,7,90000
12,8,90000
12,9,90000
12,10,90000
12,11,90000
12,12,0
12,13,90000
12,14,90000
12,15,90000
12,16,90000
12,17,90000
12,18,90000
12,19,90000
12,20,3600
12,21,90000
12,22,90000
13,1,3600
13,2,90000
13,3,90000
13,4,90000
13,5,90000
13,6,90000
13,7,90000
13,8,90000
13,9,90000
13,10,90000
13,11,90000
13,12,90000
13,13,0
13,14,90000
13,15,90000
13,16,90000
13,17,90000
13,18,90000
13,19,90000
13,20,3600
13,21,90000
13,22,90000
14,1,21600
14,2,54000
14,3,90000
14,4,90000
14,5,90000
14,6,90000
14,7,90000
14,8,90000
14,9,90000
14,10,90000
14,11,90000
14,12,90000
14,13,18000
14,14,0
14,15,90000
14,16,90000
14,17,90000
14,18,90000
14,19,90000
14,20,21600
14,21,3600
14,22,90000
15,1,14400
15,2,43200
15,3,43200
15,4,39600
15,5,90000
15,6,90000
15,7,90000
15,8,90000
15,9,90000
15,10,90000
15,11,90000
15,12,90000
15,13,14400
15,14,3600
15,15,0
15,16,90000
15,17,90000
15,18,25200
15,19,3600
15,20,14400
15,21,3600
15,22,90000
16,1,10800
16,2,90000
16,3,90000
16,4,90000
16,5,90000
16,6,90000
16,7,90000
16,8,90000
16,9,90000
16,10,90000
16,11,90000
16,12,10800
16,13,7200
16,14,10800
16,15,32400
16,16,0
16,17,3600
16,18,3600
16,19,3600
16,20,10800
16,21,10800
16,22,7200
17,1,10800
17,2,90000
17,3,90000
17,4,90000
17,5,90000
17,6,90000
17,7,90000
17,8,90000
17,9,90000
17,10,90000
17,11,90000
17,12,7200
17,13,21600
17,14,90000
17,15,90000
17,16,90000
17,17,0
17,18,3600
17,19,90000
17,20,10800
17,21,90000
17,22,3600
18,1,3600
18,2,90000
18,3,90000
18,4,90000
18,5,90000
18,6,90000
18,7,90000
18,8,90000
18,9,90000
18,10,90000
18,11,90000
18,12,14400
18,13,3600
18,14,90000
18,15,90000
18,16,90000
18,17,90000
18,18,0
18,19,90000
18,20,3600
18,21,90000
18,22,90000
19,1,3600
19,2,90000
19,3,90000
19,4,90000
19,5,90000
19,6,90000
19,7,90000
19,8,90000
19,9,90000
19,10,90000
19,11,90000
19,12,90000
19,13,3600
19,14,3600
19,15,90000
19,16,90000
19,17,90000
19,18,14400
19,19,0
19,20,3600
19,21,3600
19,22,90000
2,1,3600
2,2,0
2,3,90000
2,4,90000
2,5,90000
2,6,90000
2,7,90000
2,8,90000
2,9,90000
2,10,90000
2,11,90000
2,12,90000
2,13,3600
2,14,90000
2,15,90000
2,16,90000
2,17,90000
2,18,90000
2,19,90000
2,20,3600
2,21,90000
2,22,90000
20,1,90000
20,2,90000
20,3,90000
20,4,90000
20,5,90000
20,6,90000
20,7,90000
20,8,90000
20,9,90000
20,10,90000
20,11,90000
20,12,90000
20,13,90000
20,14,90000
20,15,90000
20,16,90000
20,17,90000
20,18,90000
20,19,90000
20,20,0
20,21,90000
20,22,90000
21,1,90000
21,2,90000
21,3,90000
21,4,90000
21,5,90000
21,6,90000
21,7,90000
21,8,90000
21,9,90000
21,10,90000
21,11,90000
21,12,90000
21,13,90000
21,14,90000
21,15,90000
21,16,90000
21,17,90000
21,18,90000
21,19,90000
21,20,90000
21,21,0
21,22,90000
22,1,90000
22,2,90000
22,3,90000
22,4,90000
22,5,90000
22,6,90000
22,7,90000
22,8,90000
22,9,90000
22,10,90000
22,11,90000
22,12,90000
22,13,90000
22,14,90000
22,15,90000
22,16,90000
22,17,90000
22,18,90000
22,19,90000
22,20,90000
22,21,90000
22,22,0
3,1,3600
3,2,3600
3,3,0
3,4,90000
3,5,90000
3,6,90000
3,7,90000
3,8,90000
3,9,90000
3,10,90000
3,11,90000
3,12,90000
3,13,3600
3,14,90000
3,15,90000
3,16,90000
3,17,90000
3,18,90000
3,19,90000
3,20,3600
3,21,90000
3,22,90000
4,1,3600
4,2,3600
4,3,3600
4,4,0
4,5,90000
4,6,90000
4,7,90000
4,8,90000
4,9,90000
4,10,90000
4,11,90000
4,12,90000
4,13,3600
4,14,90000
4,15,90000
4,16,90000
4,17,90000
4,18,90000
4,19,90000
4,20,3600
4,21,90000
4,22,90000
40,1,90000
40,2,90000
40,3,90000
40,4,90000
40,5,90000
40,6,90000
40,7,90000
40,8,90000
40,9,90000
40,10,90000
40,11,90000
40,12,90000
40,13,90000
40,14,90000
40,15,90000
40,16,90000
40,17,90000
40,18,90000
40,19,90000
40,20,90000
40,21,90000
40,22,90000
41,1,90000
41,2,90000
41,3,90000
41,4,90000
41,5,90000
41,6,90000
41,7,90000
41,8,90000
41,9,90000
41,10,90000
41,11,90000
41,12,90000
41,13,90000
41,14,90000
41,15,90000
41,16,90000
41,17,90000
41,18,90000
41,19,90000
41,20,90000
41,21,90000
41,22,90000
42,1,90000
42,2,90000
42,3,90000
42,4,90000
42,5,90000
42,6,90000
42,7,90000
42,8,90000
42,9,90000
42,10,90000
42,11,90000
42,12,90000
42,13,90000
42,14,90000
42,15,90000
42,16,90000
42,17,90000
42,18,90000
42,19,90000
42,20,90000
42,21,90000
42,22,90000
5,1,3600
5,2,3600
5,3,3600
5,4,3600
5,5,0
5,6,90000
5,7,90000
5,8,90000
5,9,90000
5,10,90000
5,11,90000
5,12,90000
5,13,3600
5,14,90000
5,15,90000
5,16,90000
5,17,90000
5,18,90000
5,19,90000
5,20,3600
5,21,90000
5,22,90000
6,1,10800
6,2,10800
6,3,10800
6,4,10800
6,5,90000
6,6,0
6,7,90000
6,8,3600
6,9,90000
6,10,90000
6,11,90000
6,12,10800
6,13,10800
6,14,3600
6,15,3600
6,16,3600
6,17,3600
6,18,3600
6,19,3600
6,20,10800
6,21,3600
6,22,3600
7,1,10800
7,2,10800
7,3,10800
7,4,10800
7,5,90000
7,6,90000
7,7,0
7,8,3600
7,9,90000
7,10,90000
7,11,90000
7,12,10800
7,13,10800
7,14,3600
7,15,3600
7,16,3600
7,17,3600
7,18,3600
7,19,3600
7,20,10800
7,21,3600
7,22,3600
8,1,10800
8,2,10800
8,3,10800
8,4,10800
8,5,90000
8,6,90000
8,7,90000
8,8,0
8,9,90000
8,10,90000
8,11,90000
8,12,10800
8,13,10800
8,14,3600
8,15,3600
8,16,3600
8,17,3600
8,18,3600
8,19,3600
8,20,10800
8,21,3600
8,22,3600
9,1,14400
9,2,28800
9,3,28800
9,4,25200
9,5,90000
9,6,90000
9,7,90000
9,8,18000
9,9,0
9,10,3600
9,11,90000
9,12,10800
9,13,25200
9,14,18000
9,15,18000
9,16,18000
9,17,3600
9,18,10800
9,19,21600
9,20,14400
9,21,18000
9,22,3600
