node,inj_node,time
1,2,90000
1,3,90000
1,4,90000
1,5,90000
1,6,90000
1,7,90000
1,8,90000
1,9,90000
1,10,90000
1,11,90000
1,12,90000
1,13,90000
1,14,90000
1,15,90000
1,16,90000
1,17,90000
1,18,90000
1,19,90000
1,20,90000
1,21,90000
1,22,90000
1,23,90000
1,24,90000
1,25,90000
1,26,90000
1,27,90000
1,28,90000
1,29,90000
1,30,90000
1,31,90000
1,32,90000
10,2,3600
10,3,3600
10,4,3600
10,5,3600
10,6,3600
10,7,3600
10,8,3600
10,9,3600
10,10,0
10,11,90000
10,12,90000
10,13,90000
10,14,3600
10,15,3600
10,16,3600
10,17,3600
10,18,3600
10,19,3600
10,20,90000
10,21,90000
10,22,90000
10,23,90000
10,24,90000
10,25,90000
10,26,90000
10,27,90000
10,28,90000
10,29,90000
10,30,90000
10,31,90000
10,32,90000
11,2,3600
11,3,3600
11,4,3600
11,5,3600
11,6,3600
11,7,3600
11,8,3600
11,9,3600
11,10,3600
11,11,0
11,12,90000
11,13,90000
11,14,3600
11,15,3600
11,16,3600
11,17,3600
11,18,3600
11,19,3600
11,20,90000
11,21,90000
11,22,90000
11,23,90000
11,24,90000
11,25,90000
11,26,90000
11,27,90000
11,28,90000
11,29,90000
11,30,90000
11,31,90000
11,32,90000
12,2,3600
12,3,3600
12,4,3600
12,5,3600
12,6,3600
12,7,3600
12,8,3600
12,9,3600
12,10,3600
12,11,3600
12,12,0
12,13,90000
12,14,3600
12,15,3600
12,16,3600
12,17,3600
12,18,3600
12,19,3600
12,20,90000
12,21,90000
12,22,90000
12,23,90000
12,24,90000
12,25,90000
12,26,90000
12,27,90000
12,28,90000
12,29,90000
12,30,90000
12,31,90000
12,32,90000
13,2,3600
13,3,3600
13,4,3600
13,5,3600
13,6,3600
13,7,3600
13,8,3600
13,9,3600
13,10,3600
13,11,3600
13,12,3600
13,13,0
13,14,3600
13,15,3600
13,16,3600
13,17,3600
13,18,3600
13,19,3600
13,20,90000
13,21,90000
13,22,90000
13,23,90000
13,24,90000
13,25,90000
13,26,90000
13,27,90000
13,28,90000
13,29,90000
13,30,90000
13,31,90000
13,32,90000
14,2,3600
14,3,3600
14,4,90000
14,5,90000
14,6,90000
14,7,90000
14,8,90000
14,9,90000
14,10,90000
14,11,90000
14,12,90000
